"id","description","last_updated"
"2705857","Beef, bacon, reduced sodium, cooked","2024-10-31"
"2705858","Beef, dried, chipped, uncooked","2024-10-31"
"2705859","Beef, dried, chipped, cooked in fat","2024-10-31"
"2705860","Beef jerky","2024-10-31"
"2705861","Baby Toddler beef","2024-10-31"
"2705862","Pork, NFS","2024-10-31"
"2705863","Pork, ground","2024-10-31"
"2705864","Pork, carnitas","2024-10-31"
"2705865","Pork jerky","2024-10-31"
"2705866","Pork, chop, NS as to fat eaten","2024-10-31"
"2705867","Pork, chop, lean and fat eaten","2024-10-31"
"2705868","Pork, chop, lean only eaten","2024-10-31"
"2705869","Pork, chop, coated, NS as to fat eaten","2024-10-31"
"2705870","Pork, chop, coated, lean and fat eaten","2024-10-31"
"2705871","Pork, chop, coated, lean only eaten","2024-10-31"
"2705872","Pork, chop, stuffed","2024-10-31"
"2705873","Pork, steak, NS as to fat eaten","2024-10-31"
"2705874","Pork, steak, lean and fat eaten","2024-10-31"
"2705875","Pork, steak, lean only eaten","2024-10-31"
"2705876","Pork, steak, coated","2024-10-31"
"2705877","Pork, tenderloin","2024-10-31"
"2705878","Ham","2024-10-31"
"2705879","Ham, prosciutto","2024-10-31"
"2705880","Ham, canned","2024-10-31"
"2705881","Ham, ground","2024-10-31"
"2705882","Pork, roast","2024-10-31"
"2705883","Pork, roll","2024-10-31"
"2705884","Canadian bacon, cooked","2024-10-31"
"2705885","Bacon, NS as to type of meat, cooked","2024-10-31"
"2705886","Bacon, NS as to type of meat, reduced sodium, cooked","2024-10-31"
"2705887","Pork bacon, NS as to fresh, smoked or cured, cooked","2024-10-31"
"2705888","Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked","2024-10-31"
"2705889","Pork bacon, smoked or cured, cooked","2024-10-31"
"2705890","Bacon or side pork, fresh, cooked","2024-10-31"
"2705891","Pork bacon, smoked or cured, reduced sodium, cooked","2024-10-31"
"2705892","Fat back, cooked","2024-10-31"
"2705893","Ribs, NFS","2024-10-31"
"2705894","Pork, ribs","2024-10-31"
"2705895","Pork, cracklings","2024-10-31"
"2705896","Pork, ears","2024-10-31"
"2705897","Pork, bones","2024-10-31"
"2705898","Pork, pig's feet","2024-10-31"
"2705899","Pork, pig's feet, pickled","2024-10-31"
"2705900","Pork, ham hocks","2024-10-31"
"2705901","Pork, belly","2024-10-31"
"2705902","Pork skin rinds","2024-10-31"
"2705903","Baby Toddler ham","2024-10-31"
"2705904","Baby Toddler meat stick","2024-10-31"
"2705905","Lamb, NS as to cut","2024-10-31"
"2705906","Lamb, chop","2024-10-31"
"2705907","Lamb, ground","2024-10-31"
"2705908","Goat","2024-10-31"
"2705909","Veal, chop","2024-10-31"
"2705910","Veal, ground","2024-10-31"
"2705911","Mock chicken legs","2024-10-31"
"2705912","Rabbit","2024-10-31"
"2705913","Venison, NFS","2024-10-31"
"2705914","Venison, steak","2024-10-31"
"2705915","Venison/deer jerky","2024-10-31"
"2705916","Venison sausage","2024-10-31"
"2705917","Moose","2024-10-31"
"2705918","Bear","2024-10-31"
"2705919","Caribou","2024-10-31"
"2705920","Bison","2024-10-31"
"2705921","Groundhog","2024-10-31"
"2705922","Opossum","2024-10-31"
"2705923","Squirrel","2024-10-31"
"2705924","Beaver","2024-10-31"
"2705925","Raccoon","2024-10-31"
"2705926","Armadillo","2024-10-31"
"2705927","Wild pig","2024-10-31"
"2705928","Ostrich","2024-10-31"
"2705929","Chicken, NS as to part and cooking method, NS as to skin eaten","2024-10-31"
"2705930","Chicken, NS as to part and cooking method, skin eaten","2024-10-31"
"2705931","Chicken, NS as to part and cooking method, skin not eaten","2024-10-31"
"2705932","Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten","2024-10-31"
"2705933","Chicken, NS as to part, baked, broiled, or roasted, skin eaten","2024-10-31"
"2705934","Chicken, NS as to part, baked, broiled, or roasted, skin not eaten","2024-10-31"
"2705935","Chicken, NS as to part, rotisserie, NS as to skin eaten","2024-10-31"
"2705936","Chicken, NS as to part, rotisserie, skin eaten","2024-10-31"
"2705937","Chicken, NS as to part, rotisserie, skin not eaten","2024-10-31"
"2705938","Chicken, NS as to part, stewed, NS as to skin eaten","2024-10-31"
"2705939","Chicken, NS as to part, stewed, skin eaten","2024-10-31"
"2705940","Chicken, NS as to part, stewed, skin not eaten","2024-10-31"
"2705941","Chicken, NS as to part, grilled without sauce, NS as to skin eaten","2024-10-31"
"2705942","Chicken, NS as to part, grilled without sauce, skin eaten","2024-10-31"
"2705943","Chicken, NS as to part, grilled without sauce, skin not eaten","2024-10-31"
"2705944","Chicken, NS as to part, grilled with sauce, NS as to skin eaten","2024-10-31"
"2705945","Chicken, NS as to part, grilled with sauce, skin eaten","2024-10-31"
"2705946","Chicken, NS as to part, grilled with sauce, skin not eaten","2024-10-31"
"2705947","Chicken, NS as to part, sauteed, skin eaten","2024-10-31"
"2705948","Chicken, NS as to part, sauteed, skin not eaten","2024-10-31"
"2705949","Chicken, NS as to part, fried, coated, skin / coating eaten","2024-10-31"
"2705950","Chicken, NS as to part, fried, coated, skin / coating not eaten","2024-10-31"
"2705951","Chicken, NS as to part, baked, coated, skin / coating eaten","2024-10-31"
"2705952","Chicken, NS as to part, baked, coated, skin / coating not eaten","2024-10-31"
"2705953","Chicken breast, NS as to cooking method, skin eaten","2024-10-31"
"2705954","Chicken breast, NS as to cooking method, skin not eaten","2024-10-31"
"2705955","Chicken breast, baked, broiled, or roasted, skin eaten, from raw","2024-10-31"
"2705956","Chicken breast, baked, broiled, or roasted, skin not eaten, from raw","2024-10-31"
"2705957","Chicken breast, baked or broiled, skin eaten, from pre-cooked","2024-10-31"
"2705958","Chicken breast, baked or broiled, skin not eaten, from pre-cooked","2024-10-31"
"2705959","Chicken breast, baked or broiled, skin eaten, from fast food / restaurant","2024-10-31"
"2705960","Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant","2024-10-31"
"2705961","Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw","2024-10-31"
"2705962","Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw","2024-10-31"
"2705963","Chicken breast, rotisserie, skin eaten","2024-10-31"
"2705964","Chicken breast, rotisserie, skin not eaten","2024-10-31"
"2705965","Chicken breast, stewed, skin eaten","2024-10-31"
"2705966","Chicken breast, stewed, skin not eaten","2024-10-31"
"2705967","Chicken breast, grilled without sauce, skin eaten","2024-10-31"
"2705968","Chicken breast, grilled without sauce, skin not eaten","2024-10-31"
"2705969","Chicken breast, grilled with sauce, skin eaten","2024-10-31"
"2705970","Chicken breast, grilled with sauce, skin not eaten","2024-10-31"
"2705971","Chicken breast, sauteed, skin eaten","2024-10-31"
"2705972","Chicken breast, sauteed, skin not eaten","2024-10-31"
"2705973","Chicken breast, fried, coated, skin / coating eaten, from raw","2024-10-31"
"2705974","Chicken breast, fried, coated, skin / coating not eaten, from raw","2024-10-31"
"2705975","Chicken breast, fried, coated, prepared skinless, coating eaten, from raw","2024-10-31"
"2705976","Chicken breast, fried, coated, skin / coating eaten, from pre-cooked","2024-10-31"
"2705977","Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked","2024-10-31"
"2705978","Chicken breast, fried, coated, skin / coating eaten, from fast food / restaurant","2024-10-31"
"2705979","Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant","2024-10-31"
"2705980","Chicken breast, baked, coated, skin / coating eaten","2024-10-31"
"2705981","Chicken breast, baked, coated, skin / coating not eaten","2024-10-31"
"2705982","Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten","2024-10-31"
"2705983","Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten","2024-10-31"
"2705984","Chicken leg, drumstick and thigh, baked or broiled, skin eaten","2024-10-31"
"2705985","Chicken leg, drumstick and thigh, baked or broiled, skin not eaten","2024-10-31"
"2705986","Chicken leg, drumstick and thigh, rotisserie, skin eaten","2024-10-31"
"2705987","Chicken leg, drumstick and thigh, rotisserie, skin not eaten","2024-10-31"
"2705988","Chicken leg, drumstick and thigh, stewed, skin eaten","2024-10-31"
"2705989","Chicken leg, drumstick and thigh, stewed, skin not eaten","2024-10-31"
"2705990","Chicken leg, drumstick and thigh, grilled without sauce, skin eaten","2024-10-31"
"2705991","Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten","2024-10-31"
"2705992","Chicken leg, drumstick and thigh, grilled with sauce, skin eaten","2024-10-31"
"2705993","Chicken leg, drumstick and thigh, grilled with sauce, skin not eaten","2024-10-31"
"2705994","Chicken leg, drumstick and thigh, sauteed, skin eaten","2024-10-31"
"2705995","Chicken leg, drumstick and thigh, sauteed, skin not eaten","2024-10-31"
"2705996","Chicken leg, drumstick and thigh, fried, coated, skin / coating eaten","2024-10-31"
"2705997","Chicken leg, drumstick and thigh, fried, coated, skin / coating not eaten","2024-10-31"
"2705998","Chicken leg, drumstick and thigh, baked, coated, skin / coating eaten","2024-10-31"
"2705999","Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten","2024-10-31"
"2706000","Chicken drumstick, NS as to cooking method, skin eaten","2024-10-31"
"2706001","Chicken drumstick, NS as to cooking method, skin not eaten","2024-10-31"
"2706002","Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw","2024-10-31"
"2706003","Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw","2024-10-31"
"2706004","Chicken drumstick, baked or broiled, skin eaten, from pre-cooked","2024-10-31"
"2706005","Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked","2024-10-31"
"2706006","Chicken drumstick, baked or broiled, skin eaten, from fast food / restaurant","2024-10-31"
"2706007","Chicken drumstick, baked or broiled, skin not eaten, from fast food / restaurant","2024-10-31"
"2706008","Chicken drumstick, rotisserie, skin eaten","2024-10-31"
"2706009","Chicken drumstick, rotisserie, skin not eaten","2024-10-31"
"2706010","Chicken drumstick, grilled without sauce, skin eaten","2024-10-31"
"2706011","Chicken drumstick, grilled without sauce, skin not eaten","2024-10-31"
"2706012","Chicken drumstick, grilled with sauce, skin eaten","2024-10-31"
"2706013","Chicken drumstick, grilled with sauce, skin not eaten","2024-10-31"
"2706014","Chicken drumstick, stewed, skin eaten","2024-10-31"
"2706015","Chicken drumstick, stewed, skin not eaten","2024-10-31"
"2706016","Chicken drumstick, sauteed, skin eaten","2024-10-31"
"2706017","Chicken drumstick, sauteed, skin not eaten","2024-10-31"
"2706018","Chicken drumstick, fried, coated, skin / coating eaten, from raw","2024-10-31"
"2706019","Chicken drumstick, fried, coated, skin / coating not eaten, from raw","2024-10-31"
"2706020","Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw","2024-10-31"
"2706021","Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked","2024-10-31"
"2706022","Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked","2024-10-31"
"2706023","Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant","2024-10-31"
"2706024","Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant","2024-10-31"
"2706025","Chicken drumstick, baked, coated, skin / coating eaten","2024-10-31"
"2706026","Chicken drumstick, baked, coated, skin / coating not eaten","2024-10-31"
"2706027","Chicken thigh, NS as to cooking method, skin eaten","2024-10-31"
"2706028","Chicken thigh, NS as to cooking method, skin not eaten","2024-10-31"
"2706029","Chicken thigh, baked, broiled, or roasted, skin eaten, from raw","2024-10-31"
"2706030","Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw","2024-10-31"
"2706031","Chicken thigh, baked or broiled, skin eaten, from pre-cooked","2024-10-31"
"2706032","Chicken thigh, baked or broiled, skin not eaten, from pre-cooked","2024-10-31"
"2706033","Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant","2024-10-31"
"2706034","Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant","2024-10-31"
"2706035","Chicken thigh, rotisserie, skin eaten","2024-10-31"
"2706036","Chicken thigh, rotisserie, skin not eaten","2024-10-31"
"2706037","Chicken thigh, stewed, skin eaten","2024-10-31"
"2706038","Chicken thigh, stewed, skin not eaten","2024-10-31"
"2706039","Chicken thigh, grilled without sauce, skin eaten","2024-10-31"
"2706040","Chicken thigh, grilled without sauce, skin not eaten","2024-10-31"
"2706041","Chicken thigh, grilled with sauce, skin eaten","2024-10-31"
"2706042","Chicken thigh, grilled with sauce, skin not eaten","2024-10-31"
"2706043","Chicken thigh, sauteed, skin eaten","2024-10-31"
"2706044","Chicken thigh, sauteed, skin not eaten","2024-10-31"
"2706045","Chicken thigh, fried, coated, skin / coating eaten, from raw","2024-10-31"
"2706046","Chicken thigh, fried, coated, skin / coating not eaten, from raw","2024-10-31"
"2706047","Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw","2024-10-31"
"2706048","Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked","2024-10-31"
"2706049","Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked","2024-10-31"
"2706050","Chicken thigh, fried, coated, skin / coating eaten, from fast food","2024-10-31"
"2706051","Chicken thigh, fried, coated, skin / coating not eaten, from fast food","2024-10-31"
"2706052","Chicken thigh, fried, coated, skin / coating eaten, from restaurant","2024-10-31"
"2706053","Chicken thigh, fried, coated, skin / coating not eaten, from restaurant","2024-10-31"
"2706054","Chicken thigh, baked, coated, skin / coating eaten","2024-10-31"
"2706055","Chicken thigh, baked, coated, skin / coating not eaten","2024-10-31"
"2706056","Chicken wing, NS as to cooking method","2024-10-31"
"2706057","Chicken wing, baked, broiled, or roasted, from raw","2024-10-31"
"2706058","Chicken wing, baked or broiled, from pre-cooked","2024-10-31"
"2706059","Chicken wing, baked or broiled, from fast food / restaurant","2024-10-31"
"2706060","Chicken wing, rotisserie","2024-10-31"
"2706061","Chicken wing, stewed","2024-10-31"
"2706062","Chicken wing, grilled without sauce","2024-10-31"
"2706063","Chicken wing, grilled with sauce","2024-10-31"
"2706064","Chicken wing, sauteed","2024-10-31"
"2706065","Chicken wing, fried, coated, from raw","2024-10-31"
"2706066","Chicken wing, fried, coated, from pre-cooked","2024-10-31"
"2706067","Chicken wing, fried, coated, from fast food","2024-10-31"
"2706068","Chicken wing, fried, coated, from restaurant","2024-10-31"
"2706069","Chicken wing, baked, coated","2024-10-31"
"2706070","Chicken ""wings"" with hot sauce, from fast food / restaurant","2024-10-31"
"2706071","Chicken ""wings"" with other sauces or seasoning, from fast food / restaurant","2024-10-31"
"2706072","Chicken ""wings"", plain, from fast food / restaurant","2024-10-31"
"2706073","Chicken ""wings"" with hot sauce, from precooked","2024-10-31"
"2706074","Chicken ""wings"" with other sauces or seasoning, from precooked","2024-10-31"
"2706075","Chicken ""wings"", plain, from precooked","2024-10-31"
"2706076","Chicken ""wings"" with hot sauce, from other sources","2024-10-31"
"2706077","Chicken ""wings"" with other sauces or seasoning, from other sources","2024-10-31"
"2706078","Chicken ""wings"", plain, from other sources","2024-10-31"
"2706079","Chicken ""wings"", boneless, with hot sauce, from fast food / restaurant","2024-10-31"
"2706080","Chicken ""wings"", boneless, with hot sauce, from other sources","2024-10-31"
"2706081","Chicken, back","2024-10-31"
"2706082","Chicken, neck or ribs","2024-10-31"
"2706083","Chicken, tail","2024-10-31"
"2706084","Chicken skin","2024-10-31"
"2706085","Chicken feet","2024-10-31"
"2706086","Chicken, canned, meat only","2024-10-31"
"2706087","Chicken, chicken roll, roasted","2024-10-31"
"2706088","Chicken patty, breaded","2024-10-31"
"2706089","Chicken fillet, breaded","2024-10-31"
"2706090","Chicken fillet, grilled","2024-10-31"
"2706091","Chicken, ground","2024-10-31"
"2706092","Chicken nuggets, NFS","2024-10-31"
"2706093","Chicken nuggets, from fast food","2024-10-31"
"2706094","Chicken nuggets, from restaurant","2024-10-31"
"2706095","Chicken nuggets, from school lunch","2024-10-31"
"2706096","Chicken nuggets, from frozen","2024-10-31"
"2706097","Chicken nuggets, from other sources","2024-10-31"
"2706098","Chicken tenders or strips, NFS","2024-10-31"
"2706099","Chicken tenders or strips, breaded, from fast food","2024-10-31"
"2706100","Chicken tenders or strips, breaded, from restaurant","2024-10-31"
